Category,Question,Answer
I'M LOOKING FOR A MAN IN FINANCE,"His annual letter to the shareholders at Berkshire Hathaway is ""the investment world's equivalent of a Harry Potter book release""",Buffett
3-LETTER WORDS WITH 2 SYLLABLES,"One or some, it matters none",any
HERBS & SPICES,"Used to flavor a certain ale, its name is from the Sanskrit meaning ""horn body"", referring to the shape of its root",ginger
BRIT LIT SITS,"The chapter ""Down the Rabbit-Hole"" opens with her ""beginning to get very tired of sitting by her sister on the bank""",Alice
BESPECTACLED ANIMATED CHARACTERS,"In 2009's ""Up"", gruff & bespectacled Carl Fredricksen is a retired salesman of these",balloons
HISTORY,"2 months before he lost his head in 1794, this leader established the Cult of the Supreme Being in France",Robespierre
I'M LOOKING FOR A MAN IN FINANCE,In the 19-teens he established a partnership with Edmund C. Lynch,Merrill
3-LETTER WORDS WITH 2 SYLLABLES,It can mean unfriendly or hostile as well as bitterly cold,icy
HERBS & SPICES,"The elephant type of this can weigh a pound or more per bulb & is more closely related to the leek than to ""the stinking rose""",garlic
BRIT LIT SITS,"In chapter 1 of this book, Mole sees a river for the first time & ""sat on the bank, while"" it ""chattered on to him""",The Wind in the Willows
BESPECTACLED ANIMATED CHARACTERS,This animated kid was named for our 37th president,Milhouse
HISTORY,"U.S. Army troops massacred hundreds of Lakota near this South Dakota creek on December 29, 1890",Wounded Knee
I'M LOOKING FOR A MAN IN FINANCE,"A poster boy for the Gilded Age, this mega-rich guy founded the company that controlled most of Cleveland's refineries by 1872",Rockefeller
3-LETTER WORDS WITH 2 SYLLABLES,"By way of, from the Latin for ""road""",via
HERBS & SPICES,"Used to flavor stews & stuffing, this aromatic leaf comes from a laurel tree",bay leaf
BRIT LIT SITS,"As Elizabeth Bennet sat, this character ""had been standing near enough for her to overhear a conversation between him and Mr. Bingley""",Mr. Darcy
BESPECTACLED ANIMATED CHARACTERS,"As one who likes his beer, it seems appropriate that Peter Griffin works at a brewery in this Fox series",Family Guy
HISTORY,In 1411 Chinese admiral Zheng He captured the king of this island south of India & took him to China,Sri Lanka (Ceylon)
I'M LOOKING FOR A MAN IN FINANCE,Oil & mining tycoon & multi-billionaire Mohammed Al-Amoudi was born in the Amhara region of this African country,Ethiopia
3-LETTER WORDS WITH 2 SYLLABLES,"For example, the Cenozoic or the Paleozoic",an era
HERBS & SPICES,Other names for this herb include black sugar & sweet root,licorice
BRIT LIT SITS,"This dystopian novel opens as ""We sat in the Korova Milkbar making up our rassoodocks what to do with the evening""",A Clockwork Orange
BESPECTACLED ANIMATED CHARACTERS,"The brains of the ""Scooby-Doo"" gang, she really can't see without her glasses, which are always falling off her face",Velma
HISTORY,"Others insisted they were just following orders, but this obese Nazi took ""100% responsibility"" at Nuremberg in 1946",Göring
I'M LOOKING FOR A MAN IN FINANCE,He founded his publicly owned investment firm in Baltimore in 1937; perhaps you've seen its bighorn sheep logo?,T. Rowe Price
3-LETTER WORDS WITH 2 SYLLABLES,"Extinct, flightless Down Under creature depicted here",a moa
HERBS & SPICES,"Similar to marjoram, it 's native to the hills of the Mediterranean & has a name that goes back to Latin for wild marjoram",oregano
BRIT LIT SITS,"Winston Smith found ""while he sat helplessly musing he had also been writing... 'down with""' him, in all caps, 5 times",Big Brother
BESPECTACLED ANIMATED CHARACTERS,This bespectacled pair have misadventures while traveling through time,Peabody & Sherman
A SEASON IN HELSINKI,"Say ""kippis"" & enjoy lonkero, a drink made with grapefruit soda & this spirit from Finland's juniper berries",gin
THIS & THAT,Ménière's disease sufferer Dr. Carol Foster has developed a home method to stop this state of dizziness,vertigo
ANCIENT SCIENCE,Democritus believed these tiny particles were inert solids that interact mechanically,atoms
"GIVING IT YOUR ""ALL""",A network security device that can block incoming data traffic,a firewall
PEOPLE IN POEMS,"In a commemorative poem of 1623, Ben Jonson was the first to refer to him as ""the Sweet Swan of Avon""",Shakespeare
"WALT, WIT MAN","In this 1968 film Walter Matthau as Oscar says Jack Lemmon as Felix ""wears his seat belt in a drive-in movie""",The Odd Couple
A SEASON IN HELSINKI,"Temppeliaukio , built directly into rock, is a church of this Protestant denomination, Finland's largest religious group",Lutheran
THIS & THAT,The name of this West African antelope seen here can also refer to one of a set of connected hand drums,a bongo
ANCIENT SCIENCE,"Greek physician Praxagoras noted that pulsation is found in these, not veins; he did, however, believe they carried air",arteries
"GIVING IT YOUR ""ALL""","A comedy genre; ""His Girl Friday"" & ""Bringing Up Baby"", for example",screwball
PEOPLE IN POEMS,"In ""Paradise Lost"", Milton wrote, ""As when by night the glass of"" this man ""observes imagined lands & regions in the moon""",Galileo
"WALT, WIT MAN","On this show, Walton Goggins as Boyd tells Raylan Givens, ""If a book could only be judged by its cover, you'd be a bestseller""",Justified
A SEASON IN HELSINKI,Public these in Helsinki are literal hot spots; Uusi & Löyly are 2 in town that embrace the spirit of steam,a sauna
THIS & THAT,"It resulted in part from a merging of a version of the flamenco & the milonga, a fast, sensual Argentine dance",the tango
ANCIENT SCIENCE,"In book V of ""The History of Animals"", this longtime pupil of Plato discusses in some detail the sex lives of animals & insects",Aristotle
"GIVING IT YOUR ""ALL""",A government's often one-time tax on a company's excessive profits,a windfall tax
PEOPLE IN POEMS,"In ""Losers"", Carl Sandburg mentions him: ""I who have fiddled in a world on fire, I who have done so many stunts not worth doing""",Nero
"WALT, WIT MAN","""Sweetness"" was the nickname of this Chicago Bears running back who said, ""Tomorrow is promised to no one""",Walter Payton
A SEASON IN HELSINKI,"As a young man this ""Four Legends"" composer studied law at what is now the University of Helsinki",Sibelius
THIS & THAT,"This word can refer to an idealized concept of a loved one formed in childhood, or the final developmental stage of an insect",imago
ANCIENT SCIENCE,"Using the displacement of water, this Greek discovered that King Hieron II's gold crown wasn't entirely gold",Archimedes
"GIVING IT YOUR ""ALL""",In 1972 routine vaccinations against this disease were discontinued in the United States,smallpox
PEOPLE IN POEMS,"Longfellow's sonnet about this poet begins, ""The young Endymion sleeps Endymion's sleep""",Keats
"WALT, WIT MAN","In ""The Treasure of the Sierra Madre"", this Walt tells his compadre, ""Good medicine men are born, not made""",Walter Huston
A SEASON IN HELSINKI,"Eero's dad, this Finnish-American architect helped design the National Museum in the National Romantic style",Eliel Saarinen
THIS & THAT,This capital city on the island of Hispaniola was founded in 1498 by Christopher Columbus' brother Bartholomew,Santo Domingo
ANCIENT SCIENCE,"Around 150 A.D. this Egyptian astronomer recorded 48 of the 88 constellations in his book ""Almagest""",Ptolemy
"GIVING IT YOUR ""ALL""",9-letter word meaning to anticipate & prevent,forestall
PEOPLE IN POEMS,"Moved by an exhibit about his life & work, Linda Bierds wrote, ""He was halfway between the war's last enigmas & the cyanide apple""",Alan Turing
"WALT, WIT MAN","This Knicks guard & broadcaster, also known as Clyde, once called center Chris Kaman, ""265 pounds of fiasco""",(Walt) Frazier
ANIMAL GROUPS,"Since they tower over all animals in the grasslands of Africa, it's not surprising that a group of them is called a tower",giraffes
LIT-POURRI,"In 1938 he moved to a Maine farm where he kept animals, some of which got into his book ""Charlotte's Web""",E.B. White
BEFORE THEY WERE STARS,"Her career was in the opposite of its ""Twilight"" when she played a ring toss girl in ""The Flintstones in Viva Rock Vegas""",Kristen Stewart
CLASSIC COCKTAILS,"To garnish your martini, try the Castelvetrano type of these",olives
OLD-FASHIONED,Per ziprecruiter.com most people fail to send this after a job interview; a handwritten letter may be too old-timey in the WFH era,a thank you note
7 & 7,In 2020 Juan Soto led the National League in this with .351,batting average
ANIMAL GROUPS,A gaggle of these is called a skein when in flight,geese
LIT-POURRI,"He reflects on his 2022 stabbing in his aptly titled memoir, ""Knife""",Rushdie
BEFORE THEY WERE STARS,"Before ""X-Men""... before the Oscar win... she had to eat! & an early break was playing a school mascot on ""Monk""",(Jennifer) Lawrence
CLASSIC COCKTAILS,"The owner of Bertha's Bar in Taxco, Mexico in 1930 is one claimant as the creator of this tequila-based cocktail",a margarita
OLD-FASHIONED,Flip phones are making a comeback after 2 decades of being outmoded & this brand has even revived its Razr model,Motorola
7 & 7,The Sony PlayStation headset & the Meta Quest 2 promise a seamless immersion into this simulated environment,virtual reality
ANIMAL GROUPS,Your nanny could tell you a trip is a group of these,goats
LIT-POURRI,Actresses who are blind were cast to play the blind Marie-Laure in the 2023 miniseries based on this Anthony Doerr novel,All the Light We Cannot See
BEFORE THEY WERE STARS,"In 1989 the ""Love Shack"" video was a place where the B-52's got together with this drag queen & future TV host",RuPaul
CLASSIC COCKTAILS,"Maybe at Havana's El Floridita, Ernest Hemingway in an afternoon could drink 12 of these -- he liked them with grapefruit juice",daiquiris
OLD-FASHIONED,"This cold dessert salad with oranges, coconut & marshmallows doesn't seem so divine to palates today",ambrosia
7 & 7,"An animal observed in the wild is said to be here, as in ""We'll see the rhinos in their...""",natural habitat
ANIMAL GROUPS,"A stench or, less obviously, a surfeit is a group of these mammals",skunks
LIT-POURRI,"""Plain Tales from the Hills"" is a collection of short stories by this English author born in India",Kipling
BEFORE THEY WERE STARS,"Seen here , she's made quite a few good career moves since an uncredited appearance on ""Vampire Academy""",Anya Taylor-Joy
CLASSIC COCKTAILS,"An old fashioned is whiskey, a sugar cube (or simple syrup), an orange slice, a maraschino cherry & a couple of dashes of these",bitters
OLD-FASHIONED,"Basically plaid in only 2 colors, this fabric pattern was  rocked by early 20th  c. women but Rebecca of Sunnybrook Farm gets sick of it",gingham
7 & 7,Psychological term for a child's unconscious attraction to a parent of the opposite sex,Oedipus complex
ANIMAL GROUPS,"Used in trips across the desert, a group of them can be called a caravan or a train",camels
LIT-POURRI,"This author of the Jeeves stories also wrote book & lyrics for Jerome Kern, Victor Herbert & George Gershwin",Wodehouse
BEFORE THEY WERE STARS,"Before making swearing a pure cinematic art form, he played a dad in Public Enemy's video for ""911 Is A Joke""",Samuel L. Jackson
CLASSIC COCKTAILS,The 7&7 calls for 7UP & this brand's 7 whiskey,Seagram's
OLD-FASHIONED,"Both a bit old-fashioned, they are polite behavior & a bended-knee gesture, the second word derived from the first",courtesy & curtsy
7 & 7,This Georgia newspaper that debuted in 1883 merged with the Constitution in 2001,The Atlanta Journal
AMERICAN HISTORY,"Established in the 1930s, this government agency has the ""authority"" to control floods & provide electricity down South",the Tennessee Valley Authority
GRAMMY ALBUM OF THE YEAR,Whitney Houston starred as Rachel Marron in this film whose soundtrack won the award in 1994,The Bodyguard
CAVES,The world's largest ice cave lies in Hochkogel Mountain in a section of this range in Austria,the Alps
HOW 'BOUT A GAME OF CARDS?,"In bridge, hitting one of these scores 13 tricks, not 4 runs",a grand slam
ART TERMS,This type of artwork tells you the spot in a church it's meant to be above & behind; the Isenheim one is quite famous,an altarpiece
AT THE ACCENT AIGU CAFÉ,"We'd say it's a stereotypical expression or hackneyed theme in drama, but that would be such a...",cliché
AMERICAN HISTORY,"The first census, for this year, revealed that the population totaled 3.9 million",1790
GRAMMY ALBUM OF THE YEAR,The first of Taylor Swift's record 4 AOTY Grammys was for this album in 2010,Fearless
CAVES,"Fingal's Cave on the island of Staffa in these ""Inner"" islands inspired a famous overture by Felix Mendelssohn",the Hebrides
HOW 'BOUT A GAME OF CARDS?,"Some say to always split aces or 8s when playing this game, but 5s, not so much",blackjack
ART TERMS,The colors mix in the viewer's eye in this style that uses little blobs of color & is also called divisionism,pointillism
AT THE ACCENT AIGU CAFÉ,"This pink, pink wine, you make me feel so fine, you keep me rockin', all of the time",rosé
AMERICAN HISTORY,"In 1951 pastor, welder & dad Oliver Brown filed a suit against a board of education in this state that soon made history",Kansas
GRAMMY ALBUM OF THE YEAR,"The first woman to win in the category, Ms. Garland took the prize for ""Judy at"" this NYC venue",Carnegie Hall
CAVES,"To legally receive its name, this blue-veined cheese must age in the limestone caves near Toulouse, France",Roquefort
HOW 'BOUT A GAME OF CARDS?,The goal of this game with a not exactly PC name is to not be holding a queen at the end,Old Maid
ART TERMS,"In a painting, it's the juncture on a horizontal line where the parallel lines in the scene look like they converge",the vanishing point
AT THE ACCENT AIGU CAFÉ,It means to cover food with booze & set the dish alight for a few moments before serving,flambé
AMERICAN HISTORY,"George Dangerfield won a Pulitzer for a history of early 19th century America titled ""The Era of"" these",Good Feelings
GRAMMY ALBUM OF THE YEAR,"""Dreamland"" by Glass Animals might be the response to this album that made Billie Eilish the category's youngest winner ever","When We All Fall Asleep, Where Do We Go?"
CAVES,"Most of the 4.6 mil. shells of Kent, England's Shell Grotto are local but there are shells from this Caribbean sea snail as well",conch
HOW 'BOUT A GAME OF CARDS?,"Paired cards in this game: ""What made my first kiss so awkward?"" & ""A live studio audience""",Cards Against Humanity
ART TERMS,Here 's Verrocchio's take on the little nude cherub known by this Italian term in art,a putto
AT THE ACCENT AIGU CAFÉ,This 5-letter word means outmoded or no longer fashionable,passé
AMERICAN HISTORY,"Punning on a general's name & a Hugo title, glum Civil War soldiers in the Army of Northern Virginia called themselves these",Lee's Miserables
GRAMMY ALBUM OF THE YEAR,"Billy Joel was the ""Big Shot"" in 1980, winning for this album that bears the name of a thoroughfare",52nd Street
CAVES,"In 1900 a library cave of around 50,000 documents was discovered in the Caves of the Thousand Buddhas on this ancient route",the Silk Road
HOW 'BOUT A GAME OF CARDS?,"If you ""declare out"" in this 48-card game, play stops & tricks are counted; if you have 1,000 points or more, you win",pinochle
ART TERMS,Artist Bridget Riley is one of the foremost exponents of this eye-bending style that emerged in the 1960s,op art
AT THE ACCENT AIGU CAFÉ,"It's the easing of political tensions between countries, like the period from the late 1960s until 1979 for the U.S. & Russia",détente
WILLIAM & MARY,"William & Mary came to power in the ""Glorious Revolution"" that made this 2-house body more vital to British government",Parliament
THAT'S ON BRAND,"When it comes to bed frames, who else but this company would make the Tufjord or the Björksnäs",IKEA
NATIONAL SYMBOLS,The Great Seal of the United States uses Roman numerals to spell out this number,1776
ALBUM COLLECTION,"""Desperado"", ""Hotel California""",the Eagles
THE GROUP OF 7,"The G7 is made up of the world's 7 major industrial democracies -- 2 in the Americas, 4 in Europe & this member in Asia",Japan
GO FISH,A player who has just scored a touchdown is likely to spike the ball,pike (in s pike )
WILLIAM & MARY,"On Feb. 8, 1693 the monarchs signed a document creating an institution named for them in this far-off colony",Virginia
THAT'S ON BRAND,This company's LaserJet pro 4001n only has to print 2 letters to finish its name,HP
NATIONAL SYMBOLS,"Botswana's coat of arms depicts a bull's head, an elephant's tusk & 2 of these native equines",zebras
ALBUM COLLECTION,"""Anti"", ""Good Girl Gone Bad""",Rihanna
THE GROUP OF 7,The G7 originated in the '70s in part to discuss an oil crisis brought on by this organization's embargo on Western nations,OPEC
GO FISH,When traveling abroad it is best to know the whereabouts of the nearest embassies,bass (in em bass ies)
WILLIAM & MARY,"Due to his appearance (blackened teeth, hooked nose), William was called this, the monster in ""The Tempest""",Caliban
THAT'S ON BRAND,"To be brief, you can get a 3-pack of boxer briefs from this ""edible"" company's men's getaway collection",Fruit of the Loom
NATIONAL SYMBOLS,"Scientific name Mangifera indica, it's the national fruit of India",the mango
ALBUM COLLECTION,"""Back to Black"", ""Lioness: Hidden Treasures""",Winehouse
THE GROUP OF 7,"The G7 was briefly the G8 until 2014, when Russia was suspended after the annexation of this peninsula",Crimea
GO FISH,"A soliloquy says, ""to sleep, perchance to dream: ay, there's the rub, for in that sleep of death what dreams may come""",perch (in perch ance)
WILLIAM & MARY,"Under the Treaty of Ryswick in 1697 ending the 9 Years' War, this French king finally recognized William as England's king",Louis XIV
THAT'S ON BRAND,You could say this brand has a monopoly on Scrabble & Furby,Hasbro
NATIONAL SYMBOLS,"Sung in French, Dutch & German, ""La Brabançonne"", or ""The Song Of Brabant"", is its national anthem",Belgium
ALBUM COLLECTION,"""Master of Puppets"", ""...And Justice for All""",Metallica
THE GROUP OF 7,"To enhance engagement with the developing world, in 1999 the G7 helped launch this similar body with a larger membership",the G20 (Group of 20)
GO FISH,Bon Appetit's recipe for melon & prosciutto risotto calls for shallots & mascarpone,carp (in Mas carp one)
WILLIAM & MARY,"Deposed in 1688, this Catholic king, Mary's father, tried to regain the throne 2 years later but was defeated at the Battle of the Boyne",James II
THAT'S ON BRAND,"The blue label of this whisky brand had an ""Elusive Umami"" limited edition; its red seems less elusive as its best seller",Johnnie Walker
NATIONAL SYMBOLS,"The words ""Ordem e Progresso"" adorn the flag of this South American nation",Brazil
ALBUM COLLECTION,"""Stadium Arcadium"", ""Californication""",the Red Hot Chili Peppers
THE GROUP OF 7,"On January 1, 2024, Italy, led by this prime minister, assumed the G7's rotating presidency",Giorgia Meloni
GO FISH,The game show host shows his eloquence with the brilliant reading of each clue,a brill (in brill iant)
CLASSIC NOVELS,Miss Havisham became a bitter recluse after she was jilted on her wedding day in this novel,Great Expectations
TREE PEOPLE?,"In 2010 she became the youngest to have a double platinum single in the U.S. with ""Whip My Hair""",Willow Smith
GREAT LANDFORM,A type of deer in Argentina shares its name with this type of grassland,Pampas
PSYCHOLOGY,"""I"" learned Jung differentiated 4 mind functions -- thinking, feeling, sensation & this, which men have too",intuition
FAMOUS FATHERS-IN-LAW,He told Jimmy Kimmel that Chris Pratt did ask for his daughter's hand in marriage but did not invite him to the bachelor party,Schwarzenegger
BEGINS & ENDS WITH...,P: Short for a type of marital contract made prior to the ceremony,prenup
CLASSIC NOVELS,Chester Gillette's murder of his pregnant girlfriend on New York's Big Moose Lake inspired this Theodore Dreiser novel,An American Tragedy
TREE PEOPLE?,"After starring as Captain Kirk in the ""Star Trek"" movies reboot, he played Steve Trevor in ""Wonder Woman""",(Chris) Pine
GREAT LANDFORM,"This landform is a sandbank or knoll covered in shallow water, or a big school of fish you might find there",a shoal
PSYCHOLOGY,David Levy popularized this 2-word term that came in handy for analyzing the Roy family's dynamic on TV,sibling rivalry
FAMOUS FATHERS-IN-LAW,In the Bible David succeeded this father-in-law as king of Israel,Saul
BEGINS & ENDS WITH...,T: To successfully hinder a plan,thwart
CLASSIC NOVELS,"Emma is the bored & disillusioned wife of Charles, a doctor in this French classic",Madame Bovary
TREE PEOPLE?,"Born Arthur Stanley Jefferson, he was Charlie Chaplin's understudy for 3 years prior to becoming part of a famous comedy team",Laurel
GREAT LANDFORM,"Some of these landforms at a national park named for them are called ""windows"" for the way they frame scenic views",arches
PSYCHOLOGY,"Freud wrote, ""A sense of guilt is invariably the factor that transforms sadism into"" this opposite",masochism
FAMOUS FATHERS-IN-LAW,"He shared a close relationship with wife Elizabeth's father, Continental Congress delegate & New York Senator Philip Schuyler",Alexander Hamilton
BEGINS & ENDS WITH...,W: To throw chaff into the air to let the grain become free,winnow
CLASSIC NOVELS,"E.M. Forster divided this novel into 3 parts: ""Mosque"", ""Caves"" & ""Temple""",A Passage to India
TREE PEOPLE?,"In between Ivana & Melania, Donald Trump was married to her, Tiffany's mom",Marla Maples
GREAT LANDFORM,"According to the USGS, the barchan type of these formations occur in ""isolated... areas of limited sand availability""",dunes
PSYCHOLOGY,"From around 1898 to 1930, this Russian studied conditioned reflex, like the one that will make you buzz in... now",Pavlov
FAMOUS FATHERS-IN-LAW,"In 1953 Anthony Quinn won an Oscar for ""Viva Zapata!"" & this father-in-law won for producing ""The Greatest Show on Earth""",Cecil B. DeMille
BEGINS & ENDS WITH...,"C: Sorghum has no gluten, so it's a favorite grain among those with this disease",celiac
CLASSIC NOVELS,In this Gogol novel a scheming Pavel Chichikov seeks to buy from landowners names of their deceased serfs,Dead Souls
TREE PEOPLE?,"A legend of the Broadway stage, she 's won Tony Awards for ""Doubt"" & ""The Heiress""",Cherry Jones
GREAT LANDFORM,"Created by waves & tides, a tombolo is a gravel bar type of this landform, from the Greek for ""neck""",isthmus
PSYCHOLOGY,"In I/O, this & organizational psychology, the Hawthorne studies showed that workers had human needs beyond pay",industrial
FAMOUS FATHERS-IN-LAW,"With Wagner in exile, the premiere of ""Lohengrin"" took place in Weimar in 1850 under the direction of this future father-in-law",Liszt
BEGINS & ENDS WITH...,"A: Used to store oil or wine, it's the name for any 2-handled jar, like the one seen here , given as prizes in ancient Greece",amphora
O CANADA PROVINCE CAPITAL,"In 1758 Halifax, capital of this province, was the site of Canada's first representative government",Nova Scotia
DYING ON TV,"Oh, I say, bad luck old chap -- Matthew Crawley made Lady Mary a widow on this drama; Dan Stevens wanted to leave the show",Downton Abbey
WILD LINES,"""Why do you lead me"" on one of these ridiculous quests, an unhappy Sancho Panza asks Don Quixote",a wild goose chase
NICKNAMES,"The International Rose Test Garden is in this Oregon city, nicknamed ""The City of Roses""",Portland
ALL BETS,"Latin for ""before"" gives us this poker word for the initial wager all players must make",an ante
R OFF,"Let the ""R"" take a break from the energy required to move an object against a force & season this Asian pan",a wok (wo r k to wok)
O CANADA PROVINCE CAPITAL,"Founded by Samuel de Champlain in 1608, this city has a name that comes from Algonquian for ""the river narrows here""",Quebec (City)
DYING ON TV,"On ""Game of Thrones"", this awful king played by Jack Gleeson did not survive the ""Purple Wedding"" -- but tell Cersei, it wasn't me",Joffrey
