"""Alias"" actress + Sydney",Jennifer Garner,4,Jeopardy Pavlovs
"""Alice Adams"" author + won Pulitzer Prizes",Booth Tarkington,5,Jeopardy Pavlovs
"""Alice in Wonderland"" + tea party",Dormouse,4,Jeopardy Pavlovs
"""Alice's Adventures in Wonderland"" author",Lewis Carroll,6,Jeopardy Pavlovs
"""Alien"" actress + starred",Sigourney Weaver,9,Jeopardy Pavlovs
"""All I know is what I read in the papers"" + humorist",Will Rogers,4,Jeopardy Pavlovs
"""All Things Must Pass"" album",George Harrison,4,Jeopardy Pavlovs
"""All in the Family"" producer",Norman Lear,7,Jeopardy Pavlovs
"""All the King's Men"" author",Robert Penn Warren,13,Jeopardy Pavlovs
"""All-American Boy"" of radio",Jack Armstrong,4,Jeopardy Pavlovs
"""Ally McBeal"" actress",Calista Flockhart,5,Jeopardy Pavlovs
"""Alphabet mysteries"" author",Sue Grafton,4,Jeopardy Pavlovs
"""Amadeus"" playwright",Peter Shaffer,4,Jeopardy Pavlovs
"""Amahl and the Night Visitors"" composer + opera",Gian Carlo Menotti,5,Jeopardy Pavlovs
"""American Beauty"" actor",Kevin Spacey,6,Jeopardy Pavlovs
"""American Buffalo"" author + playwright",David Mamet,5,Jeopardy Pavlovs
"""American Crisis"" author + Crisis he wrote, wrote, ""Tyranny, like hell, is not easily conquered""",Thomas Paine,10,Jeopardy Pavlovs
"""American Gigolo"" actor",Richard Gere,7,Jeopardy Pavlovs
"""American Idiot"" album + band, musical ""American Idiot""",Green Day,10,Jeopardy Pavlovs
"""American Idol"" judge",Randy Jackson,9,Jeopardy Pavlovs
"""American Pastoral"" author",Philip Roth,4,Jeopardy Pavlovs
"""American Psycho"" author",Bret Easton Ellis,7,Jeopardy Pavlovs
"""An American Tragedy"" author",Theodore Dreiser,10,Jeopardy Pavlovs
"""And Then There Were None"" author + wrote",Agatha Christie,6,Jeopardy Pavlovs
"""Andromeda Strain"" author",Michael Crichton,11,Jeopardy Pavlovs
"""Andy Hardy"" star",Mickey Rooney,4,Jeopardy Pavlovs
"""Angel of the Morning"" + hit",Juice Newton,4,Jeopardy Pavlovs
"""Angela's Ashes"" author + wrote Angela's",Frank McCourt,7,Jeopardy Pavlovs
"""Animal Farm"" author + wrote",George Orwell,12,Jeopardy Pavlovs
"""Animal, vegetable or mineral"" is associated with this game",Twenty Questions,6,Jeopardy Pavlovs
"""Animals"" album + group, The Wall",Pink Floyd,5,Jeopardy Pavlovs
"""Anna Christie"" playwright",Eugene O'Neill,4,Jeopardy Pavlovs
"""Anna Karenina"" author",Leo Tolstoy,8,Jeopardy Pavlovs
"""Anne of Green Gables"" author",Lucy Maud Montgomery,4,Jeopardy Pavlovs
"""Anne of the Thousand Days""",Anne Boleyn,4,Jeopardy Pavlovs
"""Antz"" actor",Woody Allen,4,Jeopardy Pavlovs
"""Apollo 13"" actor",Tom Hanks,4,Jeopardy Pavlovs
"""Apostle to the Gentiles""",Paul,4,Jeopardy Pavlovs
"""Appalachian Spring"" composer",Aaron Copland,11,Jeopardy Pavlovs
"""Appetite For Destruction"" album + 1987, ""Appetite for Destruction"" band",Guns N' Roses,7,Jeopardy Pavlovs
"""Arabian Nights"" tale",Scheherazade,10,Jeopardy Pavlovs
"""Arms and the Man"" playwright",George Bernard Shaw,11,Jeopardy Pavlovs
"""Around the World in Eighty Days"" author + wrote",Jules Verne,10,Jeopardy Pavlovs
"""Arrested Development"" actress that married Ellen DeGeneres",Portia De Rossi,6,Jeopardy Pavlovs
"""Arsenic and Old Lace"" + directed",Frank Capra,4,Jeopardy Pavlovs
"""As Good as It Gets"" actor + 1998, Best Actor, won Best, Oscar",Jack Nicholson,5,Jeopardy Pavlovs
"""As I Lay Dying"" + author, Byhalia",William Faulkner,10,Jeopardy Pavlovs
"""Atlas Shrugged"" author",Ayn Rand,11,Jeopardy Pavlovs
"""Atonement"" author",Ian McEwan,4,Jeopardy Pavlovs
"""Babes in Toyland"" composer helped found",Victor Herbert,6,Jeopardy Pavlovs
"""Back to the Future"" actor",Michael J. Fox,6,Jeopardy Pavlovs
"""Badge 714"" + series",Dragnet,4,Jeopardy Pavlovs
"""Bag of Bones"" + wrote",Stephen King,4,Jeopardy Pavlovs
"""Baghdad by the Bay"" + City, nickname",San Francisco,4,Jeopardy Pavlovs
"""Ball Four"" + home",Jim Bouton,4,Jeopardy Pavlovs
"""Balls of Fury"" + movie, sport",Table Tennis,4,Jeopardy Pavlovs
"""Balzac"" sculptor",Auguste Rodin,5,Jeopardy Pavlovs
"""Bambi"" author",Felix Salten,5,Jeopardy Pavlovs
"""Barefoot in the Park"" playwright",Neil Simon,4,Jeopardy Pavlovs
"""Barnaby Rudge"" author",Charles Dickens,9,Jeopardy Pavlovs
"""Barrack-Room Ballads"" + His 1892",Rudyard Kipling,6,Jeopardy Pavlovs
"""Basic Instinct"" star + female",Sharon Stone,9,Jeopardy Pavlovs
"""Batman"" actor + Joker actor, Joker, TV",Cesar Romero,4,Jeopardy Pavlovs
"""Batman"" as Vicki Vale + film",Kim Basinger,4,Jeopardy Pavlovs
"""Battle of the Sexes"" tennis match + 1973",Bobby Riggs,8,Jeopardy Pavlovs
"""Bayou State""",Louisiana,6,Jeopardy Pavlovs
"""Baywatch"" star",David Hasselhoff,4,Jeopardy Pavlovs
"""Beauty & the Beat"" album",The Go-Go's,4,Jeopardy Pavlovs
"""Becker"" actor + ""Becker"" as Dr",Ted Danson,4,Jeopardy Pavlovs
"""Begin The Beguine"" + Night And Day, wrote",Cole Porter,5,Jeopardy Pavlovs
"""Being and Nothingness"" author",Sartre,7,Jeopardy Pavlovs
"""Beloved"" author + 1988 Pulitzer, Prize, American",Toni Morrison,17,Jeopardy Pavlovs
"""Ben-Hur"" author",Lew Wallace,13,Jeopardy Pavlovs
"""Bennie And The Jets"" + 1973, 1976, hit",Elton John,6,Jeopardy Pavlovs
"""Beware the Ides of March""",Julius Caesar,15,Jeopardy Pavlovs
"""Bewitched"" actress + Endora",Agnes Moorehead,5,Jeopardy Pavlovs
"""Beyond Good and Evil"" author",Nietzsche,8,Jeopardy Pavlovs
"""Big Bill"" president",William Howard Taft,8,Jeopardy Pavlovs
"""Big Muddy"" river",Missouri,5,Jeopardy Pavlovs
"""Big River"" book",Huckleberry Finn,4,Jeopardy Pavlovs
"""Billions and Billions"" astronomer + ""Billions and Billions"" author",Carl Sagan,10,Jeopardy Pavlovs
"""Billy Budd"" author",Herman Melville,12,Jeopardy Pavlovs
"""Birthplace of Aviation"" city",Dayton,5,Jeopardy Pavlovs
"""Black Beauty"" author + Who wrote",Anna Sewell,7,Jeopardy Pavlovs
"""Black Boy""",Richard Wright,8,Jeopardy Pavlovs
"""Black Sox"" scandal",Joe Jackson,4,Jeopardy Pavlovs
"""Blame Canada"" movie",South Park,4,Jeopardy Pavlovs
"""Blithe Spirit"" playwright + wrote plays like Blithe Spirit",Noel Coward,11,Jeopardy Pavlovs
"""Blond Ambition"" tour + 1990",Madonna,5,Jeopardy Pavlovs
"""Blondie"" comic strip + character, husband",Dagwood Bumstead,7,Jeopardy Pavlovs
"""Blood Meridian"" author",Cormac McCarthy,6,Jeopardy Pavlovs
"""Blue-Backed Speller"" + 1783",Noah Webster,6,Jeopardy Pavlovs
"""Bluebeard"" author + Breakfast of Champions",Kurt Vonnegut,12,Jeopardy Pavlovs
"""Bolero"" composer + piece 'Boléro', work ""Bolero"", French composer, ""L'Enfant et les Sortileges"", piece for orchestra without music, singing",Ravel,29,Jeopardy Pavlovs
"""Bonanza"", it was the last name",Cartwright,4,Jeopardy Pavlovs
"""Book 'em, Danno"" + catch, phrase, TV show",Hawaii Five-O,4,Jeopardy Pavlovs
"""Book of Virtues"" author",William Bennett,5,Jeopardy Pavlovs
"""Born Free"" author + book about Elsa",Joy Adamson,5,Jeopardy Pavlovs
"""Born on the Fourth of July"" director + JFK director, Platoon, Wall Street",Oliver Stone,5,Jeopardy Pavlovs
"""Bosom Buddies""",Tom Hanks,6,Jeopardy Pavlovs
"""Bossypants"" + 2011, Comedy, memoir, One",Tina Fey,5,Jeopardy Pavlovs
"""Boston Cooking School Cook Book"" in 1896",Fannie Farmer,10,Jeopardy Pavlovs
"""Boston Strangler""",Albert DeSalvo,5,Jeopardy Pavlovs
"""Boys Don't Cry"" star + 1999",Hilary Swank,7,Jeopardy Pavlovs
"""Brad's Drink"" + 1893, 1898, Caleb Bradham, invented",Pepsi,5,Jeopardy Pavlovs
"""Brain Droppings""",George Carlin,4,Jeopardy Pavlovs
"""Brave New World"" author + wrote ""Brave New World""",Aldous Huxley,24,Jeopardy Pavlovs
"""Breakfast at Tiffany's"" actress + actress starred in Breakfast At",Audrey Hepburn,5,Jeopardy Pavlovs
"""Breaking Bad"" as Walter White + Walter White role",Bryan Cranston,4,Jeopardy Pavlovs
"""Breaking Up Is Hard To Do"" + 1975, hits",Neil Sedaka,4,Jeopardy Pavlovs
"""Breathing Lessons"" + won 1989 Pulitzer",Anne Tyler,7,Jeopardy Pavlovs
"""Brideshead Revisited"" author",Evelyn Waugh,9,Jeopardy Pavlovs
"""Bridges To Babylon"" album",The Rolling Stones,4,Jeopardy Pavlovs
"""Bridget Jones's Diary"" actress + role",Renee Zellweger,7,Jeopardy Pavlovs
"""Brief History of Time"" author + wrote",Stephen Hawking,17,Jeopardy Pavlovs
"""Brighton Beach Memoirs"" playwright",Neil Simon,7,Jeopardy Pavlovs
"""Bringing Down the House"" + Chicago",Queen Latifah,4,Jeopardy Pavlovs
"""Bronco Buster"" sculptor",Remington,8,Jeopardy Pavlovs
"""Bruce Almighty"" actor",Jim Carrey,6,Jeopardy Pavlovs
"""Bubba"" Blue movie + 1994",Forrest Gump,7,Jeopardy Pavlovs
"""Bubbles In The Wine"" + song",Lawrence Welk,4,Jeopardy Pavlovs
"""Buffy"" actress",Sarah Michelle Gellar,5,Jeopardy Pavlovs
"""Bullets Over Broadway"" + Oscar nomination",Jennifer Tilly,4,Jeopardy Pavlovs
"""Burden Of Proof"" author + Like ""Presumed Innocent"", fictional",Scott Turow,5,Jeopardy Pavlovs
"""Burghers of Calais"" + bronze, museum, sculptor",Auguste Rodin,4,Jeopardy Pavlovs
"""Burr"" author",Gore Vidal,5,Jeopardy Pavlovs
"""C"" represent + E=mc2, c, equation",Speed of light,6,Jeopardy Pavlovs
"""Cabaret"" as Master of Ceremonies + ""Cabaret"" actor, Master of Ceremonies role",Joel Grey,4,Jeopardy Pavlovs
"""Cabbages and Kings"" + short-story author",O. Henry,4,Jeopardy Pavlovs
"""Californication"" + 1999 album",Red Hot Chili Peppers,4,Jeopardy Pavlovs
"""Call Of The Wild"" author + wrote ""The Call of the Wild""",Jack London,15,Jeopardy Pavlovs
"""Call me Ishmael"" novel",Moby Dick,10,Jeopardy Pavlovs
"""Calvin & Hobbes"" creator",Bill Watterson,7,Jeopardy Pavlovs
"""Can You Feel the Love Tonight"" film + 1994",The Lion King,7,Jeopardy Pavlovs
"""Can't Buy A Thrill"" album + band, American",Steely Dan,4,Jeopardy Pavlovs
"""Cancer Ward"" author + Soviet Union",Aleksandr Solzhenitsyn,8,Jeopardy Pavlovs
"""Candide"" author + wrote Candide",Voltaire,24,Jeopardy Pavlovs
"""Candle in the Wind"" singer",Elton John,4,Jeopardy Pavlovs
"""Cannery Row"" author",John Steinbeck,9,Jeopardy Pavlovs
"""Canterbury Tales"" author",Geoffrey Chaucer,16,Jeopardy Pavlovs
"""Cantos"" poet",Ezra Pound,7,Jeopardy Pavlovs
"""Capitalist Tool"" + business, magazine, slogan",Forbes,5,Jeopardy Pavlovs
"""Cardinal Sins"" author",Andrew Greeley,6,Jeopardy Pavlovs
"""Careless Whisper""",Wham,4,Jeopardy Pavlovs
"""Caribbean"" author",James Michener,4,Jeopardy Pavlovs
"""Carnival Of Animals""",Camille Saint-Saens,6,Jeopardy Pavlovs
"""Casablanca"" actress",Ingrid Bergman,4,Jeopardy Pavlovs
"""Cat Ballou"" + 1965, role, Academy Award, won",Lee Marvin,5,Jeopardy Pavlovs
"""Cat on a Hot Tin Roof"" playwright",Tennessee Williams,9,Jeopardy Pavlovs
"""Cat's Cradle"" author",Kurt Vonnegut,11,Jeopardy Pavlovs
"""Catch-22"" author + wrote ""Catch-22""",Joseph Heller,22,Jeopardy Pavlovs
"""Catwoman"" actress + role",Halle Berry,4,Jeopardy Pavlovs
"""Cell Block Tango"" musical + sing",Chicago,4,Jeopardy Pavlovs
"""Cereal City"" + Michigan city",Battle Creek,9,Jeopardy Pavlovs
"""Chairman of the Board"" nickname",Frank Sinatra,5,Jeopardy Pavlovs
"""Chaplin"" actor + starred",Robert Downey Jr,5,Jeopardy Pavlovs
"""Chapter Two"" playwright",Neil Simon,4,Jeopardy Pavlovs
"""Charlotte's Web"" author",E.B. White,10,Jeopardy Pavlovs
"""Checkers"" speech",Richard Nixon,6,Jeopardy Pavlovs
"""Cheers"" actor",Ted Danson,7,Jeopardy Pavlovs
"""Cheers"" actress",Kirstie Alley,8,Jeopardy Pavlovs
"""Chestnuts roasting on an open fire"" + Mel Tormé",The Christmas Song,4,Jeopardy Pavlovs
"""Childe Harold's Pilgrimage"" poet",Lord Byron,11,Jeopardy Pavlovs
"""Chim-Chim-Cheree"" movie + song ""Chim Chim Cher-ee""",Mary Poppins,9,Jeopardy Pavlovs
"""Chimneyville"" + capital, Mississippi, Sherman",Jackson,4,Jeopardy Pavlovs
"""Chitty Chitty Bang Bang"" author",Ian Fleming,5,Jeopardy Pavlovs
"""Chuckles Bites the Dust"" episode",The Mary Tyler Moore Show,7,Jeopardy Pavlovs
"""Cien Anos de Soledad""",One Hundred Years of Solitude,4,Jeopardy Pavlovs
"""Circle Of Life"" film",The Lion King,10,Jeopardy Pavlovs
"""Circle of Friends"" author + Irish writer",Maeve Binchy,6,Jeopardy Pavlovs
"""City Slickers"" actor",Jack Palance,4,Jeopardy Pavlovs
"""City of 100 Spires""",Prague,4,Jeopardy Pavlovs
"""Civil Disobedience"" author + essay ""Civil Disobedience""",Henry David Thoreau,15,Jeopardy Pavlovs
"""Clair de Lune"" composer",Debussy,8,Jeopardy Pavlovs
"""Cobb"" actor",Tommy Lee Jones,4,Jeopardy Pavlovs
"""Collide with destiny"" + movie tagline in 1997",Titanic,5,Jeopardy Pavlovs
"""Colors of the Wind"" film + 1995, song ""Colors Of The Wind""",Pocahontas,8,Jeopardy Pavlovs
"""Columbo"" actor",Peter Falk,4,Jeopardy Pavlovs
"""Come Back, Little Sheba"" playwright",William Inge,4,Jeopardy Pavlovs
"""Come Blow Your Horn"" playwright + 1961, 1963, first play ""Come Blow Your Horn""",Neil Simon,11,Jeopardy Pavlovs
"""Coming Through the Rye"" sculptor + Among his many sculptures are The Cowboy & Coming Through",Remington,4,Jeopardy Pavlovs
"""Community"" as Annie",Alison Brie,4,Jeopardy Pavlovs
"""Compleat Angler"" author + wrote",Izaak Walton,14,Jeopardy Pavlovs
"""Conch Republic"" city","Key West, FL",5,Jeopardy Pavlovs
"""Confessions of a Dangerous Mind""",George Clooney,4,Jeopardy Pavlovs
"""Confessions of an Heiress""",Paris Hilton,4,Jeopardy Pavlovs
"""Congo"" author",Michael Crichton,5,Jeopardy Pavlovs
"""Constant Craving""",k.d. lang,4,Jeopardy Pavlovs
"""Constant Reader"" + book reviews",Dorothy Parker,4,Jeopardy Pavlovs
"""Cop Killer"" + rapper",Ice-T,4,Jeopardy Pavlovs
"""Cosi Fan Tutte"" composer + opera Cosi fan Tutte",Mozart,9,Jeopardy Pavlovs
"""Cradle of Liberty"" + Boston",Faneuil Hall,7,Jeopardy Pavlovs
"""Crescent City"" nickname",New Orleans,16,Jeopardy Pavlovs
"""Cricket on the Hearth"" author",Charles Dickens,4,Jeopardy Pavlovs
"""Crime and Punishment"" author + writing ""Crime and Punishment""",Fyodor Dostoyevsky,15,Jeopardy Pavlovs
"""Crimes of the Heart"" actress",Sissy Spacek,4,Jeopardy Pavlovs
"""Crocodile Dundee"" actor",Paul Hogan,8,Jeopardy Pavlovs
"""Cross of Gold"" speech + Gold speech at the 1896 Democratic",William Jennings Bryan,7,Jeopardy Pavlovs
"""Cry Me a River"" + 2004, 2005",Justin Timberlake,6,Jeopardy Pavlovs
"""Cuckoo's Calling"" author + 2013, pseudonym Robert Galbraith",J.K. Rowling,6,Jeopardy Pavlovs
"""Cujo"" author",Stephen King,4,Jeopardy Pavlovs
"""Cyrano de Bergerac"" playwright + 1897",Edmond Rostand,7,Jeopardy Pavlovs
"""Daisy Miller"" author",Henry James,12,Jeopardy Pavlovs
"""Dallas"" spin-off",Knots Landing,5,Jeopardy Pavlovs
"""Damages"" as Patty Hewes + TV",Glenn Close,4,Jeopardy Pavlovs
"""Damnation of"" this man + Berlioz",Faust,5,Jeopardy Pavlovs
"""Dancing In The Dark"" in his 1984",Bruce Springsteen,4,Jeopardy Pavlovs
"""Dandelion Wine"" author",Ray Bradbury,4,Jeopardy Pavlovs
"""Danger Zone"" film + Kenny Loggins",Top Gun,4,Jeopardy Pavlovs
"""Danny Thomas Show""",Make Room for Daddy,4,Jeopardy Pavlovs
"""Danse Macabre"" + composer, died, France",Camille Saint-Saens,4,Jeopardy Pavlovs
"""Dark Victory""",Bette Davis,4,Jeopardy Pavlovs
"""Das Auto""",Volkswagen,4,Jeopardy Pavlovs
"""Das Kapital"" author",Karl Marx,10,Jeopardy Pavlovs
"""Das Rheingold"" + composer",Richard Wagner,5,Jeopardy Pavlovs
"""Daughter of Fortune"" + author, Chilean, Portrait in Sepia",Isabel Allende,4,Jeopardy Pavlovs
"""David Copperfield"" author",Charles Dickens,6,Jeopardy Pavlovs
"""Daydream Believer""",The Monkees,4,Jeopardy Pavlovs
"""Days Of Future Passed"" album + band, hit, British",Moody Blues,5,Jeopardy Pavlovs
"""Dazzle"" author",Judith Krantz,4,Jeopardy Pavlovs
"""Dead Souls"" author",Gogol,9,Jeopardy Pavlovs
"""Dear Abby"" columnist Abigail + twin sister of ""Dear Abby""",Ann Landers,7,Jeopardy Pavlovs
"""Death Wish"" actor + movie, starred, years",Charles Bronson,5,Jeopardy Pavlovs
"""Death in the Afternoon"" author",Ernest Hemingway,8,Jeopardy Pavlovs
"""Death of A Salesman"" playwright",Arthur Miller,14,Jeopardy Pavlovs
"""Death, be not proud"" poet + ""Holy Sonnets""",John Donne,11,Jeopardy Pavlovs
"""Decameron"" author",Giovanni Boccaccio,13,Jeopardy Pavlovs
"""Decision Points"" in 2010",George W. Bush,4,Jeopardy Pavlovs
"""Democracy in America"" + 1835, French",Alexis de Tocqueville,7,Jeopardy Pavlovs
"""Designing Women"" actress",Delta Burke,4,Jeopardy Pavlovs
"""Deuce Coupe"" + ballet, group, music, Twyla Tharp",The Beach Boys,5,Jeopardy Pavlovs
"""Dexter"" actor + Dexter Morgan, TV series ""Dexter"", plays",Michael C. Hall,5,Jeopardy Pavlovs
"""Dick Tracy"" actor + directed ""Dick Tracy""",Warren Beatty,4,Jeopardy Pavlovs
"""Die Hard"" actor",Bruce Willis,5,Jeopardy Pavlovs
"""Die Hard"" as Hans Gruber + film",Alan Rickman,4,Jeopardy Pavlovs
"""Dirty Dancing"" actor + ""Dirty Dancing"" star",Patrick Swayze,5,Jeopardy Pavlovs
"""Dirty Rotten Scoundrels"" + Michael Caine, man",Steve Martin,4,Jeopardy Pavlovs
"""Disclosure"" author",Michael Crichton,4,Jeopardy Pavlovs
"""Divergent"" author + Divergent trilogy, wrote",Veronica Roth,4,Jeopardy Pavlovs
"""Doctor Faustus"" author",Thomas Mann,5,Jeopardy Pavlovs
"""Doctor Zhivago"" author + wrote ""Dr Zhivago""",Boris Pasternak,13,Jeopardy Pavlovs
"""Dodsworth"" + author",Sinclair Lewis,5,Jeopardy Pavlovs
"""Dombey and Son"" author",Charles Dickens,8,Jeopardy Pavlovs
"""Don Giovanni"" composer + Don Giovanni opera",Mozart,20,Jeopardy Pavlovs
"""Don Quixote"" author",Cervantes,14,Jeopardy Pavlovs
"""Don't Look Back"" in 1978 + album, hit",Boston,4,Jeopardy Pavlovs
"""Dookie"" album + band",Green Day,5,Jeopardy Pavlovs
"""Doonesbury"" creator",Garry Trudeau,10,Jeopardy Pavlovs
"""Double Live"" album + album from 1998",Garth Brooks,5,Jeopardy Pavlovs
"""Downhill Racer"" + actor",Robert Redford,4,Jeopardy Pavlovs
"""Dracula"", the 1931 film",Bela Lugosi,4,Jeopardy Pavlovs
"""Dragon"" biopic subject + 1993",Bruce Lee,4,Jeopardy Pavlovs
"""Dragon's Teeth"" author + won",Upton Sinclair,5,Jeopardy Pavlovs
"""Dreamed a Dream"" on ""Britain's Got Talent"" + sang like a dream, sensation",Susan Boyle,4,Jeopardy Pavlovs
"""Driving Miss Daisy"" actor + role",Morgan Freeman,5,Jeopardy Pavlovs
"""Driving Miss Daisy"" actress + Oscar, won",Jessica Tandy,6,Jeopardy Pavlovs
"""Dubliners"" author",James Joyce,12,Jeopardy Pavlovs
"""Dueling Banjos"" + 1972 film",Deliverance,4,Jeopardy Pavlovs
"""Dyn-O-Mite"" + TV",Good Times,5,Jeopardy Pavlovs
"""E.T."" director",Steven Spielberg,6,Jeopardy Pavlovs
"""ER"" as Dr. Mark Greene + ""ER"" actor",Anthony Edwards,5,Jeopardy Pavlovs
"""East of Eden"" actor",James Dean,6,Jeopardy Pavlovs
"""Easter"" type of this flower",a lily,5,Jeopardy Pavlovs
"""Easy Rider"" actor + ""Easy Rider"" star",Dennis Hopper,4,Jeopardy Pavlovs
"""Eight Miles High"" + Gene Clark, David Crosby, sang, wrote",The Byrds,4,Jeopardy Pavlovs
"""Elf"" as Buddy",Will Ferrell,5,Jeopardy Pavlovs
"""Elmer Gantry"" actor",Burt Lancaster,4,Jeopardy Pavlovs
"""Emma"" author + wrote Emma",Jane Austen,8,Jeopardy Pavlovs
"""Empire State of Mind"" + first, Jay-Z, singer",Alicia Keys,5,Jeopardy Pavlovs
"""Endymion"" poet + wrote ""Endymion""",John Keats,11,Jeopardy Pavlovs
"""Entertainment Tonight"" host + 1996",John Tesh,7,Jeopardy Pavlovs
"""Erewhon"" author + 1901",Samuel Butler,7,Jeopardy Pavlovs
"""Eroica"" composer + Eroica Symphony",Beethoven,13,Jeopardy Pavlovs
